;;
;;
;;
Orden 2017;Estacion;Entradas
232;Duque de Pastrana;564886
233;Pitis;542912
234;Pan Bendito;534749
235;Estadio Metropolitano;479394
236;Jarama;406921
237;Henares;354878
238;Arroyo Culebro;349856
239;Rivas Vaciamadrid;345207
240;La Poveda;315134
241;Hospital del Henares;186747
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
